Time[s], SBUS, 自研422+, 自研422-, 淘宝422+, 淘宝422-
0.00383334, 0, 0, 0, 1, 0
0.00383338, 0, 0, 1, 1, 0
0.00383350, 1, 0, 1, 1, 0
0.00386310, 0, 0, 1, 1, 0
0.00386339, 0, 0, 0, 1, 0
0.00386343, 0, 1, 0, 1, 0
0.00391335, 0, 0, 0, 1, 0
0.00391338, 0, 0, 1, 1, 0
0.00391352, 1, 0, 1, 1, 0
0.00392310, 0, 0, 1, 1, 0
0.00392339, 0, 0, 0, 1, 0
0.00392343, 0, 1, 0, 1, 0
0.00395335, 0, 0, 0, 1, 0
0.00395338, 0, 0, 1, 1, 0
0.00395352, 1, 0, 1, 1, 0
0.00405308, 0, 0, 1, 1, 0
0.00405338, 0, 0, 0, 1, 0
0.00405342, 0, 1, 0, 1, 0
0.00407334, 0, 0, 0, 1, 0
0.00407337, 0, 0, 1, 1, 0
0.00407351, 1, 0, 1, 1, 0
0.00417308, 0, 0, 1, 1, 0
0.00417338, 0, 0, 0, 1, 0
0.00417342, 0, 1, 0, 1, 0
0.00424726, 0, 1, 0, 0, 0
0.00424737, 0, 1, 0, 0, 1
0.00425592, 0, 1, 0, 0, 0
0.00425603, 0, 1, 0, 1, 0
0.00429062, 0, 1, 0, 0, 0
0.00429073, 0, 1, 0, 0, 1
0.00432531, 0, 1, 0, 0, 0
0.00432543, 0, 1, 0, 1, 0
0.00433398, 0, 1, 0, 0, 0
0.00433410, 0, 1, 0, 0, 1
0.00438601, 0, 1, 0, 0, 0
0.00438612, 0, 1, 0, 1, 0
0.00442071, 0, 1, 0, 0, 0
0.00442082, 0, 1, 0, 0, 1
0.00442937, 0, 1, 0, 0, 0
0.00442949, 0, 1, 0, 1, 0
0.00444673, 0, 1, 0, 0, 0
0.00444684, 0, 1, 0, 0, 1
0.00446406, 0, 1, 0, 0, 0
0.00446418, 0, 1, 0, 1, 0
0.00447274, 0, 1, 0, 0, 0
0.00447286, 0, 1, 0, 0, 1
0.00448141, 0, 1, 0, 0, 0
0.00448152, 0, 1, 0, 1, 0
0.00449008, 0, 1, 0, 0, 0
0.00449019, 0, 1, 0, 0, 1
0.00449875, 0, 1, 0, 0, 0
0.00449886, 0, 1, 0, 1, 0
0.00450743, 0, 1, 0, 0, 0
0.00450754, 0, 1, 0, 0, 1
0.00453344, 0, 1, 0, 0, 0
0.00453356, 0, 1, 0, 1, 0
0.00455079, 0, 1, 0, 0, 0
0.00455091, 0, 1, 0, 0, 1
0.00458549, 0, 1, 0, 0, 0
0.00458560, 0, 1, 0, 1, 0
0.00459416, 0, 1, 0, 0, 0
0.00459428, 0, 1, 0, 0, 1
0.00463752, 0, 1, 0, 0, 0
0.00463764, 0, 1, 0, 1, 0
0.00465487, 0, 1, 0, 0, 0
0.00465499, 0, 1, 0, 0, 1
0.00467221, 0, 1, 0, 0, 0
0.00467233, 0, 1, 0, 1, 0
0.00468090, 0, 1, 0, 0, 0
0.00468101, 0, 1, 0, 0, 1
0.00474159, 0, 1, 0, 0, 0
0.00474170, 0, 1, 0, 1, 0
0.00476760, 0, 1, 0, 0, 0
0.00476771, 0, 1, 0, 0, 1
0.00477627, 0, 1, 0, 0, 0
0.00477638, 0, 1, 0, 1, 0
0.00480228, 0, 1, 0, 0, 0
0.00480240, 0, 1, 0, 0, 1
0.00484563, 0, 1, 0, 0, 0
0.00484575, 0, 1, 0, 1, 0
0.00485431, 0, 1, 0, 0, 0
0.00485442, 0, 1, 0, 0, 1
0.00487165, 0, 1, 0, 0, 0
0.00487176, 0, 1, 0, 1, 0
0.00491501, 0, 1, 0, 0, 0
0.00491512, 0, 1, 0, 0, 1
0.00493234, 0, 1, 0, 0, 0
0.00493246, 0, 1, 0, 1, 0
0.00494102, 0, 1, 0, 0, 0
0.00494113, 0, 1, 0, 0, 1
0.00498436, 0, 1, 0, 0, 0
0.00498447, 0, 1, 0, 1, 0
0.00502771, 0, 1, 0, 0, 0
0.00502782, 0, 1, 0, 0, 1
0.00503638, 0, 1, 0, 0, 0
0.00503649, 0, 1, 0, 1, 0
0.00504505, 0, 1, 0, 0, 0
0.00504516, 0, 1, 0, 0, 1
0.00509705, 0, 1, 0, 0, 0
0.00509717, 0, 1, 0, 1, 0
0.00511440, 0, 1, 0, 0, 0
0.00511451, 0, 1, 0, 0, 1
0.00512306, 0, 1, 0, 0, 0
0.00512318, 0, 1, 0, 1, 0
0.00515775, 0, 1, 0, 0, 0
0.00515786, 0, 1, 0, 0, 1
